bevolkingsdichtheid_inwoners_per_km2,aantal_inwoners,mannen,vrouwen,percentage_personen_0_tot_15_jaar,percentage_personen_15_tot_25_jaar,percentage_personen_25_tot_45_jaar,percentage_personen_45_tot_65_jaar,percentage_personen_65_jaar_en_ouder,percentage_ongehuwd,percentage_gehuwd,percentage_gescheid,percentage_verweduwd,geboortes_per_1000_inwoners,aantal_huishoudens,gemiddelde_huishoudsgrootte,woningvoorraad,gemiddelde_woningwaarde,woningwaarde,personenautos_per_huishouden,motortweewielers_totaal
16750,670,355,320,5,5,40,21,29,64,16,10,10,4,490,1.3,510,427,2177.7,0.2,10
23111,2080,1055,1025,8,11,31,31,18,67,22,8,3,8,1320,1.6,1334,533,7110.22,0.4,70
26682,2935,1460,1470,8,10,31,33,19,69,20,9,2,11,1955,1.5,1972,484,9544.48,0.3,80
8900,265,155,115,4,15,54,21,6,79,16,4,1,4,195,1.4,205,475,973.75,0.2,5
4233,130,70,60,2,23,42,22,11,70,20,7,2,8,95,1.4,107,529,566.03,0.2,5
20660,1030,535,495,5,22,51,16,6,80,14,5,1,5,705,1.5,719,515,3702.85,0.2,30
7175,290,150,135,11,12,35,28,14,68,24,4,3,21,185,1.5,203,587,1191.61,0.3,10
20008,2400,1180,1225,11,9,45,23,12,72,21,5,1,9,1470,1.6,1536,573,8801.28,0.4,90
10690,1070,570,500,10,12,36,24,18,62,29,6,3,10,610,1.8,560,782,4379.2,0.4,20
20217,1210,630,580,7,11,36,27,18,64,25,8,3,12,775,1.6,777,651,5058.27,0.4,30
6657,935,485,450,9,8,37,29,16,64,27,7,2,12,570,1.6,558,734,4095.72,0.6,25
14905,3130,1600,1530,6,15,37,23,19,69,20,8,3,9,2055,1.5,1818,545,9908.1,0.5,60
11989,2155,1150,1010,9,13,41,27,10,73,19,7,2,12,1195,1.6,1173,529,6205.17,0.4,45
5468,1855,940,925,10,14,31,27,18,65,26,7,3,9,1095,1.6,1082,619,6697.58,0.5,40
9900,395,205,195,14,9,44,24,9,76,17,5,2,10,240,1.7,233,551,1283.83,0.3,5
